nacao;campeonato;rodada;ano;dia;home;away;HGHT;AGHT;HGFT;AGFT;odd_home;odd_draw;odd_away;over25;endereco
BRAZIL;PAULISTA;ROUND 1;2020;22.01.2020;Novorizontino;Oeste;1;0;2;0;2.09;3.2;3.36;2.24;https://www.flashscore.com/match/27kYMpGK/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2020;22.01.2020;Ituano;Palmeiras;0;0;0;4;6.18;3.82;1.5;2.12;https://www.flashscore.com/match/Kr0TNQ0E/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2020;22.01.2020;Inter de Limeira;Guarani;0;2;0;4;2.64;3.01;2.65;2.52;https://www.flashscore.com/match/th1PO6o8/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2020;22.01.2020;Sao Paulo;Agua Santa;2;0;2;0;1.3;4.78;9.31;1.94;https://www.flashscore.com/match/ADv8Grgl/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2020;23.01.2020;Ferroviaria;Mirassol;0;1;1;1;2.1;3.26;3.35;2.11;https://www.flashscore.com/match/hx8s0N87/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2020;23.01.2020;Ponte Preta;Santo Andre;1;1;2;3;1.67;3.4;4.96;2.32;https://www.flashscore.com/match/EsgxM4VQ/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2020;23.01.2020;Santos;Bragantino;0;0;0;0;1.62;3.71;4.93;1.9;https://www.flashscore.com/match/WMu4HOwr/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2020;23.01.2020;Corinthians;Botafogo SP;1;0;4;1;1.39;4.18;7.54;2.28;https://www.flashscore.com/match/Eo9w13g1/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2020;25.01.2020;Agua Santa;Novorizontino;0;1;0;2;2.94;3.0;2.38;2.27;https://www.flashscore.com/match/Q1jrIeUh/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2020;25.01.2020;Oeste;Ituano;1;0;1;0;2.46;3.13;2.72;2.03;https://www.flashscore.com/match/GAF7ypVD/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2020;26.01.2020;Palmeiras;Sao Paulo;0;0;0;0;2.13;3.0;3.48;2.36;https://www.flashscore.com/match/hzwyKHat/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2020;26.01.2020;Botafogo SP;Ponte Preta;0;0;0;1;2.54;3.08;2.69;2.34;https://www.flashscore.com/match/SlZCF28f/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2020;26.01.2020;Santo Andre;Ferroviaria;0;0;2;1;2.58;3.07;2.64;2.27;https://www.flashscore.com/match/nBivJyFn/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2020;26.01.2020;Mirassol;Corinthians;0;1;1;1;4.88;3.48;1.67;2.37;https://www.flashscore.com/match/E5yPC0hD/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2020;27.01.2020;Guarani;Santos;0;1;1;2;4.59;3.46;1.74;2.22;https://www.flashscore.com/match/02XKDtw7/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2020;27.01.2020;Bragantino;Inter de Limeira;0;0;0;1;1.31;4.8;8.89;1.8;https://www.flashscore.com/match/6uYGEMN0/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2020;29.01.2020;Santo Andre;Agua Santa;1;0;1;0;2.09;3.13;3.44;2.31;https://www.flashscore.com/match/SUCDXzUu/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2020;29.01.2020;Palmeiras;Oeste;1;0;4;0;1.16;6.44;15.12;1.7;https://www.flashscore.com/match/CIx4DXrO/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2020;29.01.2020;Ituano;Botafogo SP;1;1;2;2;2.06;2.99;3.82;2.56;https://www.flashscore.com/match/MTqiGZb5/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2020;29.01.2020;Ferroviaria;Sao Paulo;1;1;1;2;4.94;3.3;1.72;2.51;https://www.flashscore.com/match/8QumHFqa/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2020;30.01.2020;Santos;Inter de Limeira;2;0;2;0;1.25;5.11;10.35;1.82;https://www.flashscore.com/match/v5GHWfqn/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2020;30.01.2020;Novorizontino;Bragantino;0;0;0;0;3.36;3.1;2.14;2.28;https://www.flashscore.com/match/fsraEDTH/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2020;30.01.2020;Ponte Preta;Corinthians;2;0;2;1;4.26;3.1;1.88;2.43;https://www.flashscore.com/match/j9y8CibU/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2020;30.01.2020;Mirassol;Guarani;0;0;1;1;2.03;3.16;3.6;2.29;https://www.flashscore.com/match/GjqeFgEB/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2020;01.02.2020;Oeste;Ferroviaria;1;2;1;5;2.69;3.0;2.64;2.35;https://www.flashscore.com/match/4C1sRjDN/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2020;02.02.2020;Corinthians;Santos;1;0;2;0;2.05;3.03;3.76;2.39;https://www.flashscore.com/match/Ug9UThT4/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2020;02.02.2020;Agua Santa;Ituano;1;1;1;1;2.59;3.06;2.66;2.31;https://www.flashscore.com/match/0rmDLUzo/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2020;02.02.2020;Bragantino;Palmeiras;1;0;2;1;3.92;3.34;1.88;2.31;https://www.flashscore.com/match/0K4QUYDb/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2020;02.02.2020;Guarani;Santo Andre;1;1;2;1;2.02;3.06;3.86;2.39;https://www.flashscore.com/match/8p8YSCrB/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2020;03.02.2020;Inter de Limeira;Ponte Preta;0;1;2;1;2.92;3.0;2.48;2.36;https://www.flashscore.com/match/j9cwSWcH/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2020;03.02.2020;Sao Paulo;Novorizontino;0;0;1;1;1.32;4.64;8.93;1.96;https://www.flashscore.com/match/bZ0oQAST/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2020;03.02.2020;Botafogo SP;Mirassol;0;3;0;6;2.95;2.92;2.47;2.28;https://www.flashscore.com/match/MT5MVEbh/#/match-summary
BRAZIL;PAULISTA;ROUND 5;2020;07.02.2020;Oeste;Guarani;1;1;1;1;3.06;3.06;2.3;2.35;https://www.flashscore.com/match/nie0sCc4/#/match-summary
BRAZIL;PAULISTA;ROUND 5;2020;07.02.2020;Mirassol;Bragantino;1;0;2;0;2.96;3.11;2.32;2.14;https://www.flashscore.com/match/vRihqYSi/#/match-summary
BRAZIL;PAULISTA;ROUND 5;2020;08.02.2020;Agua Santa;Ferroviaria;0;0;1;0;2.68;3.12;2.53;2.33;https://www.flashscore.com/match/GWnHwUdT/#/match-summary
BRAZIL;PAULISTA;ROUND 5;2020;08.02.2020;Ponte Preta;Palmeiras;0;1;0;1;5.72;3.67;1.55;2.21;https://www.flashscore.com/match/UFp5tWCA/#/match-summary
BRAZIL;PAULISTA;ROUND 5;2020;09.02.2020;Corinthians;Inter de Limeira;0;1;0;1;1.4;4.27;6.82;1.82;https://www.flashscore.com/match/0zglpEDo/#/match-summary
BRAZIL;PAULISTA;ROUND 5;2020;09.02.2020;Santo Andre;Sao Paulo;2;0;2;1;5.1;3.66;1.62;2.08;https://www.flashscore.com/match/86q9ujSG/#/match-summary
BRAZIL;PAULISTA;ROUND 5;2020;09.02.2020;Novorizontino;Ituano;0;0;0;0;2.07;3.23;3.41;2.14;https://www.flashscore.com/match/Ymidrhrb/#/match-summary
BRAZIL;PAULISTA;ROUND 5;2020;10.02.2020;Santos;Botafogo SP;1;0;2;0;1.26;5.25;9.8;1.67;https://www.flashscore.com/match/xtlDvAsN/#/match-summary
BRAZIL;PAULISTA;ROUND 6;2020;14.02.2020;Inter de Limeira;Santo Andre;0;1;0;1;2.33;3.23;2.95;2.15;https://www.flashscore.com/match/UTPweVR3/#/match-summary
BRAZIL;PAULISTA;ROUND 6;2020;14.02.2020;Botafogo SP;Agua Santa;0;1;1;1;2.41;3.03;2.96;2.36;https://www.flashscore.com/match/MDPqZm5p/#/match-summary
BRAZIL;PAULISTA;ROUND 6;2020;15.02.2020;Guarani;Novorizontino;1;1;1;1;2.32;3.15;2.97;2.37;https://www.flashscore.com/match/ChVYeBCc/#/match-summary
