home,away,weight1,weight2
Nacional (URU),Barcelona-EQU,3.0,4.0
Boca Juniors,Toluca,5.0,6.0
Toluca,Nacional (URU),7.0,6.0
Barcelona-EQU,Boca Juniors,3.0,7.0
Toluca,Barcelona-EQU,1.0,2.0
Boca Juniors,Nacional (URU),3.0,5.0
Barcelona-EQU,Toluca,1.0,2.0
Nacional (URU),Boca Juniors,3.0,5.0
Boca Juniors,Barcelona-EQU,2.0,4.0
Nacional (URU),Toluca,2.0,0.0
Barcelona-EQU,Nacional (URU),2.0,1.0
Toluca,Boca Juniors,3.0,0.0
Palmeiras,Sporting Cristal,2.0,3.0
Tigre,Libertad,5.0,3.0
Sporting Cristal,Tigre,3.0,3.0
Libertad,Palmeiras,1.0,3.0
Libertad,Sporting Cristal,3.0,2.0
Tigre,Palmeiras,9.0,9.0
Sporting Cristal,Libertad,3.0,2.0
Palmeiras,Tigre,1.0,3.0
Tigre,Sporting Cristal,3.0,3.0
Palmeiras,Libertad,2.0,3.0
Libertad,Tigre,5.0,3.0
Sporting Cristal,Palmeiras,2.0,3.0
Atlético-MG,São Paulo,7.0,6.0
The Strongest,Arsenal Sarandí,3.0,3.0
Arsenal Sarandí,Atlético-MG,10.0,6.0
São Paulo,The Strongest,5.0,7.0
São Paulo,Arsenal Sarandí,3.0,4.0
Atlético-MG,The Strongest,2.0,0.0
The Strongest,Atlético-MG,4.0,6.0
Arsenal Sarandí,São Paulo,2.0,1.0
Atlético-MG,Arsenal Sarandí,4.0,0.0
The Strongest,São Paulo,4.0,4.0
Arsenal Sarandí,The Strongest,3.0,3.0
São Paulo,Atlético-MG,10.0,12.0
Emelec,Vélez Sarsfield,0.0,1.0
Deportes Iquique,Peñarol,5.0,6.0
Peñarol,Emelec,2.0,3.0
Vélez Sarsfield,Deportes Iquique,1.0,0.0
Peñarol,Vélez Sarsfield,4.0,6.0
Deportes Iquique,Emelec,2.0,3.0
Emelec,Deportes Iquique,3.0,3.0
Vélez Sarsfield,Peñarol,1.0,0.0
Deportes Iquique,Vélez Sarsfield,6.0,6.0
Emelec,Peñarol,1.0,3.0
Peñarol,Deportes Iquique,1.0,0.0
Vélez Sarsfield,Emelec,1.0,4.0
Millonarios,Tijuana,2.0,6.0
San José,Corinthians,4.0,4.0
Tijuana,San José,1.0,1.0
Corinthians,Millonarios,1.0,4.0
Millonarios,San José,3.0,3.0
Tijuana,Corinthians,3.0,3.0
Corinthians,Tijuana,1.0,3.0
San José,Millonarios,2.0,3.0
San José,Tijuana,5.0,4.0
Millonarios,Corinthians,3.0,7.0
Corinthians,San José,1.0,1.0
Tijuana,Millonarios,0.0,0.0
Real Atlético,Ind. Santa Fe,8.0,10.0
Deportes Tolima,Cerro Porteño,1.0,1.0
Cerro Porteño,Real Atlético,6.0,6.0
Ind. Santa Fe,Deportes Tolima,2.0,1.0
Deportes Tolima,Real Atlético,1.0,3.0
Cerro Porteño,Ind. Santa Fe,3.0,7.0
Real Atlético,Deportes Tolima,3.0,3.0
Ind. Santa Fe,Cerro Porteño,2.0,4.0
Deportes Tolima,Ind. Santa Fe,3.0,4.0
Real Atlético,Cerro Porteño,1.0,0.0
Cerro Porteño,Deportes Tolima,2.0,4.0
Ind. Santa Fe,Real Atlético,2.0,1.0
Universidad de Chile,Deportivo Lara,2.0,0.0
Newells Old Boys,Olimpia-PAR,5.0,3.0
Olimpia-PAR,Universidad de Chile,0.0,0.0
Deportivo Lara,Newells Old Boys,4.0,3.0
Olimpia-PAR,Deportivo Lara,3.0,1.0
Newells Old Boys,Universidad de Chile,2.0,3.0
Universidad de Chile,Newells Old Boys,3.0,3.0
Deportivo Lara,Olimpia-PAR,7.0,4.0
Newells Old Boys,Deportivo Lara,3.0,3.0
Universidad de Chile,Olimpia-PAR,4.0,6.0
Deportivo Lara,Universidad de Chile,5.0,6.0
Olimpia-PAR,Newells Old Boys,4.0,3.0
Caracas,Fluminense,2.0,6.0
Grêmio,Huachipato,3.0,4.0
Huachipato,Caracas,3.0,3.0
Fluminense,Grêmio,3.0,4.0
Huachipato,Fluminense,3.0,4.0
Grêmio,Caracas,3.0,3.0
Fluminense,Huachipato,2.0,1.0
Caracas,Grêmio,5.0,3.0
Caracas,Huachipato,5.0,3.0
Grêmio,Fluminense,0.0,1.0
Huachipato,Grêmio,2.0,1.0
Fluminense,Caracas,0.0,0.0
Olimpia-PAR,Atlético-MG,2.0,3.0
Atlético-MG,Olimpia-PAR,2.0,3.0
Newells Old Boys,Atlético-MG,2.0,3.0
Atlético-MG,Newells Old Boys,2.0,3.0
Olimpia-PAR,Ind. Santa Fe,1.0,3.0
Ind. Santa Fe,Olimpia-PAR,2.0,3.0
Tijuana,Atlético-MG,3.0,2.0
Atlético-MG,Tijuana,3.0,2.0
Boca Juniors,Newells Old Boys,0.0,2.0
Newells Old Boys,Boca Juniors,0.0,2.0
Fluminense,Olimpia-PAR,4.0,7.0
Olimpia-PAR,Fluminense,3.0,1.0
Tijuana,Palmeiras,2.0,4.0
Palmeiras,Tijuana,2.0,4.0
Boca Juniors,Corinthians,9.0,11.0
Corinthians,Boca Juniors,5.0,8.0
Newells Old Boys,Vélez Sarsfield,2.0,3.0
Vélez Sarsfield,Newells Old Boys,2.0,4.0
Grêmio,Ind. Santa Fe,4.0,5.0
Ind. Santa Fe,Grêmio,2.0,5.0
Real Atlético,Nacional (URU),1.0,0.0
Nacional (URU),Real Atlético,0.0,0.0
Tigre,Olimpia-PAR,2.0,3.0
Olimpia-PAR,Tigre,2.0,3.0
Emelec,Fluminense,2.0,3.0
Fluminense,Emelec,1.0,3.0
Universitario (PER),Vélez Sarsfield,3.0,6.0
Atlético-PR,The Strongest,2.0,3.0
The Strongest,Universitario (PER),2.0,3.0
Vélez Sarsfield,Atlético-PR,2.0,3.0
The Strongest,Vélez Sarsfield,1.0,3.0
Universitario (PER),Atlético-PR,3.0,6.0
Vélez Sarsfield,The Strongest,3.0,1.0
Atlético-PR,Universitario (PER),1.0,0.0
Atlético-PR,Vélez Sarsfield,5.0,6.0
Universitario (PER),The Strongest,6.0,4.0
Vélez Sarsfield,Universitario (PER),2.0,3.0
The Strongest,Atlético-PR,1.0,0.0
Botafogo,San Lorenzo,2.0,3.0
Independiente Del Valle,Unión Española,3.0,4.0
Unión Española,Botafogo,1.0,1.0
San Lorenzo,Independiente Del Valle,1.0,3.0
Independiente Del Valle,Botafogo,4.0,3.0
San Lorenzo,Unión Española,5.0,1.0
Botafogo,Independiente Del Valle,0.0,0.0
Unión Española,San Lorenzo,1.0,1.0
Independiente Del Valle,San Lorenzo,2.0,4.0
Botafogo,Unión Española,2.0,6.0
Unión Española,Independiente Del Valle,7.0,6.0
San Lorenzo,Botafogo,1.0,1.0
Deportivo Cali,Cerro Porteño,1.0,3.0
Lanús,O'Higgins,1.0,2.0
O'Higgins,Deportivo Cali,2.0,1.0
Cerro Porteño,Lanús,3.0,3.0
O'Higgins,Cerro Porteño,5.0,4.0
Deportivo Cali,Lanús,1.0,1.0
Lanús,Deportivo Cali,1.0,1.0
Cerro Porteño,O'Higgins,3.0,3.0
Deportivo Cali,O'Higgins,3.0,4.0
Lanús,Cerro Porteño,2.0,3.0
Cerro Porteño,Deportivo Cali,4.0,3.0
O'Higgins,Lanús,2.0,2.0
Zamora,Atlético-MG,4.0,9.0
Ind. Santa Fe,Nacional (PAR),4.0,3.0
Nacional (PAR),Zamora,1.0,3.0
Atlético-MG,Ind. Santa Fe,1.0,1.0
Nacional (PAR),Atlético-MG,6.0,7.0
Zamora,Ind. Santa Fe,4.0,3.0
Ind. Santa Fe,Zamora,4.0,4.0
Atlético-MG,Nacional (PAR),2.0,2.0
Zamora,Nacional (PAR),1.0,1.0
Ind. Santa Fe,Atlético-MG,4.0,5.0
Atlético-MG,Zamora,4.0,3.0
Nacional (PAR),Ind. Santa Fe,4.0,1.0
Real Garcilaso,Cruzeiro,2.0,3.0
Universidad de Chile,Defensor Sporting,4.0,6.0
Defensor Sporting,Real Garcilaso,2.0,0.0
Cruzeiro,Universidad de Chile,4.0,3.0
Defensor Sporting,Cruzeiro,3.0,3.0
Real Garcilaso,Universidad de Chile,3.0,4.0
Universidad de Chile,Real Garcilaso,0.0,0.0
Cruzeiro,Defensor Sporting,2.0,2.0
Real Garcilaso,Defensor Sporting,4.0,4.0
Universidad de Chile,Cruzeiro,3.0,7.0
Cruzeiro,Real Garcilaso,1.0,0.0
Defensor Sporting,Universidad de Chile,3.0,4.0
Nacional (URU),Grêmio,5.0,6.0
Atlético Nacional,Newells Old Boys,12.0,6.0
Grêmio,Atlético Nacional,2.0,3.0
Newells Old Boys,Nacional (URU),1.0,3.0
Atlético Nacional,Nacional (URU),3.0,4.0
Grêmio,Newells Old Boys,1.0,1.0
Nacional (URU),Atlético Nacional,1.0,3.0
Newells Old Boys,Grêmio,3.0,1.0
Nacional (URU),Newells Old Boys,4.0,3.0
Atlético Nacional,Grêmio,3.0,4.0
Newells Old Boys,Atlético Nacional,5.0,4.0
Grêmio,Nacional (URU),0.0,1.0
León,Flamengo,5.0,3.0
Emelec,Bolívar,4.0,3.0
Bolívar,León,3.0,5.0
Flamengo,Emelec,1.0,0.0
Emelec,León,3.0,0.0
Flamengo,Bolívar,4.0,4.0
Bolívar,Flamengo,2.0,1.0
León,Emelec,4.0,3.0
León,Bolívar,6.0,7.0
Emelec,Flamengo,5.0,9.0
Flamengo,León,5.0,4.0
Bolívar,Emelec,3.0,3.0
Santos Laguna,Arsenal Sarandí,2.0,2.0
Deportivo Anzoátegui,Peñarol,8.0,10.0
Peñarol,Santos Laguna,4.0,6.0
Arsenal Sarandí,Deportivo Anzoátegui,2.0,3.0
Deportivo Anzoátegui,Santos Laguna,4.0,4.0
Arsenal Sarandí,Peñarol,1.0,1.0
Santos Laguna,Deportivo Anzoátegui,4.0,3.0
Peñarol,Arsenal Sarandí,2.0,0.0
Santos Laguna,Peñarol,4.0,3.0
Deportivo Anzoátegui,Arsenal Sarandí,5.0,6.0
Peñarol,Deportivo Anzoátegui,2.0,2.0
Arsenal Sarandí,Santos Laguna,1.0,3.0
Nacional (PAR),San Lorenzo,1.0,1.0
San Lorenzo,Nacional (PAR),3.0,3.0
Nacional (PAR),Defensor Sporting,1.0,1.0
Defensor Sporting,Nacional (PAR),1.0,3.0
San Lorenzo,Bolívar,1.0,3.0
Bolívar,San Lorenzo,1.0,1.0
Nacional (PAR),Arsenal Sarandí,1.0,3.0
Arsenal Sarandí,Nacional (PAR),2.0,4.0
Atlético Nacional,Defensor Sporting,3.0,6.0
Defensor Sporting,Atlético Nacional,5.0,3.0
San Lorenzo,Cruzeiro,0.0,1.0
Cruzeiro,San Lorenzo,2.0,4.0
Lanús,Bolívar,2.0,4.0
Bolívar,Lanús,0.0,0.0
Nacional (PAR),Vélez Sarsfield,1.0,1.0
Vélez Sarsfield,Nacional (PAR),3.0,4.0
Arsenal Sarandí,Unión Española,1.0,4.0
Unión Española,Arsenal Sarandí,2.0,4.0
Atlético Nacional,Atlético-MG,2.0,1.0
Atlético-MG,Atlético Nacional,2.0,4.0
The Strongest,Defensor Sporting,0.0,0.0
Defensor Sporting,The Strongest,0.0,1.0
San Lorenzo,Grêmio,2.0,2.0
Grêmio,San Lorenzo,2.0,4.0
Cruzeiro,Cerro Porteño,3.0,4.0
Cerro Porteño,Cruzeiro,4.0,6.0
Lanús,Santos Laguna,3.0,4.0
Santos Laguna,Lanús,4.0,7.0
Atlas,Ind. Santa Fe,1.0,3.0
Colo-Colo,Atlético-MG,1.0,2.0
Atlético-MG,Atlas,1.0,3.0
Ind. Santa Fe,Colo-Colo,3.0,3.0
Colo-Colo,Atlas,2.0,2.0
Atlas,Colo-Colo,5.0,4.0
Atlas,Atlético-MG,3.0,3.0
Colo-Colo,Ind. Santa Fe,8.0,9.0
Atlético-MG,Colo-Colo,1.0,3.0
Ind. Santa Fe,Atlas,1.0,0.0
Corinthians,São Paulo,1.0,0.0
Danubio,San Lorenzo,6.0,9.0
São Paulo,Danubio,2.0,3.0
San Lorenzo,Corinthians,2.0,4.0
Danubio,Corinthians,2.0,3.0
São Paulo,San Lorenzo,3.0,3.0
San Lorenzo,São Paulo,2.0,4.0
Corinthians,Danubio,0.0,0.0
Danubio,São Paulo,4.0,6.0
Corinthians,San Lorenzo,0.0,1.0
San Lorenzo,Danubio,2.0,3.0
São Paulo,Corinthians,0.0,1.0
Huracán,Mineros de Guaiana,6.0,4.0
Universitario de Sucre,Cruzeiro,1.0,4.0
Mineros de Guaiana,Universitario de Sucre,2.0,6.0
Cruzeiro,Huracán,1.0,1.0
Universitario de Sucre,Huracán,4.0,4.0
Mineros de Guaiana,Cruzeiro,2.0,3.0
Huracán,Universitario de Sucre,2.0,1.0
Cruzeiro,Mineros de Guaiana,2.0,3.0
Huracán,Cruzeiro,5.0,6.0
Universitario de Sucre,Mineros de Guaiana,2.0,3.0
Cruzeiro,Universitario de Sucre,2.0,3.0
Mineros de Guaiana,Huracán,3.0,3.0
Universidad de Chile,Emelec,2.0,4.0
The Strongest,Internacional,4.0,3.0
Emelec,The Strongest,0.0,1.0
Internacional,Universidad de Chile,1.0,0.0
Internacional,Emelec,6.0,4.0
Universidad de Chile,The Strongest,1.0,0.0
The Strongest,Universidad de Chile,3.0,1.0
Emelec,Internacional,3.0,2.0
The Strongest,Emelec,2.0,3.0
Universidad de Chile,Internacional,5.0,6.0
Emelec,Universidad de Chile,1.0,3.0
Internacional,The Strongest,0.0,0.0
Montevideo Wanderers,Zamora,3.0,1.0
Palestino,Boca Juniors,7.0,6.0
Boca Juniors,Montevideo Wanderers,4.0,3.0
Zamora,Palestino,4.0,6.0
Montevideo Wanderers,Palestino,3.0,3.0
