home,away,home_goals,away_goals,home_win,away_win,draw,weights1,weights2
Girondins Bordeaux,FC Nantes,0,0,0.0,0.0,1.0,0,1.0
Dijon FCO,Angers SCO,0,1,0.0,1.0,0.0,1,3.0
Lille OSC,Stade Rennes,1,1,0.0,0.0,1.0,1,1.0
AS Monaco,Stade Reims,2,2,0.0,0.0,1.0,2,1.0
FC Lorient,RC Strasbourg,3,1,1.0,0.0,0.0,1,0.0
Nîmes Olympique,Stade Brest,4,0,1.0,0.0,0.0,0,0.0
OGC Nice,RC Lens,2,1,1.0,0.0,0.0,1,0.0
Montpellier HSC,Olympique Lyon,2,1,1.0,0.0,0.0,1,0.0
Paris Saint-Germain,FC Metz,1,0,1.0,0.0,0.0,0,0.0
Olympique Marseille,AS Saint-Étienne,0,2,0.0,1.0,0.0,2,3.0
Olympique Lyon,Dijon FCO,4,1,1.0,0.0,0.0,1,0.0
Stade Rennes,Montpellier HSC,2,1,1.0,0.0,0.0,1,0.0
RC Strasbourg,OGC Nice,0,2,0.0,1.0,0.0,2,3.0
Stade Reims,Lille OSC,0,1,0.0,1.0,0.0,1,3.0
Angers SCO,Girondins Bordeaux,0,2,0.0,1.0,0.0,2,3.0
FC Metz,AS Monaco,0,1,0.0,1.0,0.0,1,3.0
FC Nantes,Nîmes Olympique,2,1,1.0,0.0,0.0,1,0.0
AS Saint-Étienne,FC Lorient,2,0,1.0,0.0,0.0,0,0.0
Stade Brest,Olympique Marseille,2,3,0.0,1.0,0.0,3,3.0
RC Lens,Paris Saint-Germain,1,0,1.0,0.0,0.0,0,0.0
Girondins Bordeaux,Olympique Lyon,0,0,0.0,0.0,1.0,0,1.0
Montpellier HSC,OGC Nice,3,1,1.0,0.0,0.0,1,0.0
AS Saint-Étienne,RC Strasbourg,2,0,1.0,0.0,0.0,0,0.0
Lille OSC,FC Metz,1,0,1.0,0.0,0.0,0,0.0
Angers SCO,Stade Reims,1,0,1.0,0.0,0.0,0,0.0
Dijon FCO,Stade Brest,0,2,0.0,1.0,0.0,2,3.0
FC Lorient,RC Lens,2,3,0.0,1.0,0.0,3,3.0
Nîmes Olympique,Stade Rennes,2,4,0.0,1.0,0.0,4,3.0
AS Monaco,FC Nantes,2,1,1.0,0.0,0.0,1,0.0
Paris Saint-Germain,Olympique Marseille,0,1,0.0,1.0,0.0,1,3.0
Olympique Lyon,Nîmes Olympique,0,0,0.0,0.0,1.0,0,1.0
RC Lens,Girondins Bordeaux,2,1,1.0,0.0,0.0,1,0.0
Stade Rennes,AS Monaco,2,1,1.0,0.0,0.0,1,0.0
OGC Nice,Paris Saint-Germain,0,3,0.0,1.0,0.0,3,3.0
Stade Brest,FC Lorient,3,2,1.0,0.0,0.0,2,0.0
FC Metz,Stade Reims,2,1,1.0,0.0,0.0,1,0.0
Montpellier HSC,Angers SCO,4,1,1.0,0.0,0.0,1,0.0
RC Strasbourg,Dijon FCO,1,0,1.0,0.0,0.0,0,0.0
FC Nantes,AS Saint-Étienne,2,2,0.0,0.0,1.0,2,1.0
Olympique Marseille,Lille OSC,1,1,0.0,0.0,1.0,1,1.0
Lille OSC,FC Nantes,2,0,1.0,0.0,0.0,0,0.0
AS Saint-Étienne,Stade Rennes,0,3,0.0,1.0,0.0,3,3.0
Olympique Marseille,FC Metz,1,1,0.0,0.0,1.0,1,1.0
Girondins Bordeaux,OGC Nice,0,0,0.0,0.0,1.0,0,1.0
Angers SCO,Stade Brest,3,2,1.0,0.0,0.0,2,0.0
Dijon FCO,Montpellier HSC,2,2,0.0,0.0,1.0,2,1.0
AS Monaco,RC Strasbourg,3,2,1.0,0.0,0.0,2,0.0
Nîmes Olympique,RC Lens,1,1,0.0,0.0,1.0,1,1.0
FC Lorient,Olympique Lyon,1,1,0.0,0.0,1.0,1,1.0
Stade Reims,Paris Saint-Germain,0,2,0.0,1.0,0.0,2,3.0
Paris Saint-Germain,Angers SCO,6,1,1.0,0.0,0.0,1,0.0
RC Lens,AS Saint-Étienne,2,0,1.0,0.0,0.0,0,0.0
OGC Nice,FC Nantes,2,1,1.0,0.0,0.0,1,0.0
Montpellier HSC,Nîmes Olympique,0,1,0.0,1.0,0.0,1,3.0
Girondins Bordeaux,Dijon FCO,3,0,1.0,0.0,0.0,0,0.0
Stade Brest,AS Monaco,1,0,1.0,0.0,0.0,0,0.0
FC Metz,FC Lorient,3,1,1.0,0.0,0.0,1,0.0
RC Strasbourg,Lille OSC,0,3,0.0,1.0,0.0,3,3.0
Stade Rennes,Stade Reims,2,2,0.0,0.0,1.0,2,1.0
Olympique Lyon,Olympique Marseille,1,1,0.0,0.0,1.0,1,1.0
Dijon FCO,Stade Rennes,1,1,0.0,0.0,1.0,1,1.0
Nîmes Olympique,Paris Saint-Germain,0,4,0.0,1.0,0.0,4,3.0
Stade Reims,FC Lorient,1,3,0.0,1.0,0.0,3,3.0
Olympique Marseille,Girondins Bordeaux,3,1,1.0,0.0,0.0,1,0.0
RC Strasbourg,Olympique Lyon,2,3,0.0,1.0,0.0,3,3.0
Angers SCO,FC Metz,1,1,0.0,0.0,1.0,1,1.0
AS Monaco,Montpellier HSC,1,1,0.0,0.0,1.0,1,1.0
FC Nantes,Stade Brest,3,1,1.0,0.0,0.0,1,0.0
AS Saint-Étienne,OGC Nice,1,3,0.0,1.0,0.0,3,3.0
Lille OSC,RC Lens,4,0,1.0,0.0,0.0,0,0.0
Stade Rennes,Angers SCO,1,2,0.0,1.0,0.0,2,3.0
FC Lorient,Olympique Marseille,0,1,0.0,1.0,0.0,1,3.0
Paris Saint-Germain,Dijon FCO,4,0,1.0,0.0,0.0,0,0.0
Girondins Bordeaux,Nîmes Olympique,2,0,1.0,0.0,0.0,0,0.0
Stade Brest,RC Strasbourg,0,3,0.0,1.0,0.0,3,3.0
FC Metz,AS Saint-Étienne,2,0,1.0,0.0,0.0,0,0.0
Montpellier HSC,Stade Reims,0,4,0.0,1.0,0.0,4,3.0
OGC Nice,Lille OSC,1,1,0.0,0.0,1.0,1,1.0
Olympique Lyon,AS Monaco,4,1,1.0,0.0,0.0,1,0.0
RC Lens,FC Nantes,1,1,0.0,0.0,1.0,1,1.0
Stade Rennes,Stade Brest,2,1,1.0,0.0,0.0,1,0.0
FC Nantes,Paris Saint-Germain,0,3,0.0,1.0,0.0,3,3.0
AS Saint-Étienne,Montpellier HSC,0,1,0.0,1.0,0.0,1,3.0
Angers SCO,OGC Nice,0,3,0.0,1.0,0.0,3,3.0
Dijon FCO,FC Lorient,0,0,0.0,0.0,1.0,0,1.0
Nîmes Olympique,FC Metz,0,1,0.0,1.0,0.0,1,3.0
Stade Reims,RC Strasbourg,2,1,1.0,0.0,0.0,1,0.0
AS Monaco,Girondins Bordeaux,4,0,1.0,0.0,0.0,0,0.0
Lille OSC,Olympique Lyon,1,1,0.0,0.0,1.0,1,1.0
Olympique Marseille,RC Lens,0,1,0.0,1.0,0.0,1,3.0
RC Strasbourg,Olympique Marseille,0,1,0.0,1.0,0.0,1,3.0
Girondins Bordeaux,Montpellier HSC,0,2,0.0,1.0,0.0,2,3.0
Paris Saint-Germain,Stade Rennes,3,0,1.0,0.0,0.0,0,0.0
Stade Brest,Lille OSC,3,2,1.0,0.0,0.0,2,0.0
RC Lens,Stade Reims,4,4,0.0,0.0,1.0,4,1.0
FC Lorient,FC Nantes,0,2,0.0,1.0,0.0,2,3.0
FC Metz,Dijon FCO,1,1,0.0,0.0,1.0,1,1.0
Nîmes Olympique,Angers SCO,1,5,0.0,1.0,0.0,5,3.0
OGC Nice,AS Monaco,1,2,0.0,1.0,0.0,2,3.0
Olympique Lyon,AS Saint-Étienne,2,1,1.0,0.0,0.0,1,0.0
Stade Rennes,Girondins Bordeaux,0,1,0.0,1.0,0.0,1,3.0
AS Monaco,Paris Saint-Germain,3,2,1.0,0.0,0.0,2,0.0
Stade Brest,AS Saint-Étienne,4,1,1.0,0.0,0.0,1,0.0
FC Nantes,FC Metz,1,1,0.0,0.0,1.0,1,1.0
Dijon FCO,RC Lens,0,1,0.0,1.0,0.0,1,3.0
Montpellier HSC,RC Strasbourg,4,3,1.0,0.0,0.0,3,0.0
Stade Reims,Nîmes Olympique,0,1,0.0,1.0,0.0,1,3.0
Angers SCO,Olympique Lyon,0,1,0.0,1.0,0.0,1,3.0
Lille OSC,FC Lorient,4,0,1.0,0.0,0.0,0,0.0
Olympique Marseille,OGC Nice,3,2,1.0,0.0,0.0,2,0.0
RC Strasbourg,Stade Rennes,1,1,0.0,0.0,1.0,1,1.0
Olympique Marseille,FC Nantes,3,1,1.0,0.0,0.0,1,0.0
Paris Saint-Germain,Girondins Bordeaux,2,2,0.0,0.0,1.0,2,1.0
Olympique Lyon,Stade Reims,3,0,1.0,0.0,0.0,0,0.0
RC Lens,Angers SCO,1,3,0.0,1.0,0.0,3,3.0
FC Lorient,Montpellier HSC,0,1,0.0,1.0,0.0,1,3.0
FC Metz,Stade Brest,0,2,0.0,1.0,0.0,2,3.0
AS Monaco,Nîmes Olympique,3,0,1.0,0.0,0.0,0,0.0
OGC Nice,Dijon FCO,1,3,0.0,1.0,0.0,3,3.0
AS Saint-Étienne,Lille OSC,1,1,0.0,0.0,1.0,1,1.0
Nîmes Olympique,Olympique Marseille,0,2,0.0,1.0,0.0,2,3.0
Stade Rennes,RC Lens,0,2,0.0,1.0,0.0,2,3.0
Montpellier HSC,Paris Saint-Germain,1,3,0.0,1.0,0.0,3,3.0
Lille OSC,AS Monaco,2,1,1.0,0.0,0.0,1,0.0
Angers SCO,FC Lorient,2,0,1.0,0.0,0.0,0,0.0
Girondins Bordeaux,Stade Brest,1,0,1.0,0.0,0.0,0,0.0
Dijon FCO,AS Saint-Étienne,0,0,0.0,0.0,1.0,0,1.0
FC Nantes,RC Strasbourg,0,4,0.0,1.0,0.0,4,3.0
Stade Reims,OGC Nice,0,0,0.0,0.0,1.0,0,1.0
FC Metz,Olympique Lyon,1,3,0.0,1.0,0.0,3,3.0
AS Saint-Étienne,Angers SCO,0,0,0.0,0.0,1.0,0,1.0
Olympique Marseille,AS Monaco,2,1,1.0,0.0,0.0,1,0.0
RC Lens,Montpellier HSC,2,3,0.0,1.0,0.0,3,3.0
OGC Nice,Stade Rennes,0,1,0.0,1.0,0.0,1,3.0
Stade Brest,Stade Reims,2,1,1.0,0.0,0.0,1,0.0
FC Lorient,Nîmes Olympique,3,0,1.0,0.0,0.0,0,0.0
FC Nantes,Dijon FCO,1,1,0.0,0.0,1.0,1,1.0
RC Strasbourg,FC Metz,2,2,0.0,0.0,1.0,2,1.0
Lille OSC,Girondins Bordeaux,2,1,1.0,0.0,0.0,1,0.0
Paris Saint-Germain,Olympique Lyon,0,1,0.0,1.0,0.0,1,3.0
Angers SCO,RC Strasbourg,0,2,0.0,1.0,0.0,2,3.0
Dijon FCO,Lille OSC,0,2,0.0,1.0,0.0,2,3.0
Montpellier HSC,FC Metz,0,2,0.0,1.0,0.0,2,3.0
Nîmes Olympique,OGC Nice,0,2,0.0,1.0,0.0,2,3.0
Stade Reims,FC Nantes,3,2,1.0,0.0,0.0,2,0.0
Girondins Bordeaux,AS Saint-Étienne,1,2,0.0,1.0,0.0,2,3.0
Olympique Lyon,Stade Brest,2,2,0.0,0.0,1.0,2,1.0
AS Monaco,RC Lens,0,3,0.0,1.0,0.0,3,3.0
Paris Saint-Germain,FC Lorient,2,0,1.0,0.0,0.0,0,0.0
Stade Rennes,Olympique Marseille,2,1,1.0,0.0,0.0,1,0.0
FC Metz,RC Lens,2,0,1.0,0.0,0.0,0,0.0
Olympique Marseille,Stade Reims,1,1,0.0,0.0,1.0,1,1.0
OGC Nice,Olympique Lyon,1,4,0.0,1.0,0.0,4,3.0
Stade Brest,Montpellier HSC,2,2,0.0,0.0,1.0,2,1.0
Dijon FCO,AS Monaco,0,1,0.0,1.0,0.0,1,3.0
FC Nantes,Angers SCO,1,1,0.0,0.0,1.0,1,1.0
AS Saint-Étienne,Nîmes Olympique,2,2,0.0,0.0,1.0,2,1.0
RC Strasbourg,Girondins Bordeaux,0,2,0.0,1.0,0.0,2,3.0
FC Lorient,Stade Rennes,0,3,0.0,1.0,0.0,3,3.0
Lille OSC,Paris Saint-Germain,0,0,0.0,0.0,1.0,0,1.0
Girondins Bordeaux,Stade Reims,1,3,0.0,1.0,0.0,3,3.0
RC Lens,Stade Brest,2,1,1.0,0.0,0.0,1,0.0
OGC Nice,FC Lorient,2,2,0.0,0.0,1.0,2,1.0
Nîmes Olympique,Dijon FCO,1,3,0.0,1.0,0.0,3,3.0
Stade Rennes,FC Metz,1,0,1.0,0.0,0.0,0,0.0
Angers SCO,Olympique Marseille,2,1,1.0,0.0,0.0,1,0.0
Olympique Lyon,FC Nantes,3,0,1.0,0.0,0.0,0,0.0
AS Monaco,AS Saint-Étienne,2,2,0.0,0.0,1.0,2,1.0
Montpellier HSC,Lille OSC,2,3,0.0,1.0,0.0,3,3.0
Paris Saint-Germain,RC Strasbourg,4,0,1.0,0.0,0.0,0,0.0
Stade Brest,OGC Nice,2,0,1.0,0.0,0.0,0,0.0
FC Lorient,AS Monaco,2,5,0.0,1.0,0.0,5,3.0
FC Metz,Girondins Bordeaux,0,0,0.0,0.0,1.0,0,1.0
FC Nantes,Stade Rennes,0,0,0.0,0.0,1.0,0,1.0
